TITOLO,PUNTEGGIO,CONSIGLIATO,GENERE,PAESI,ANNO,"DURATA
(MINUTI)",TRAMA,REGIA,CAST,CINEMA,ORARIO
IL TERZO UOMO,"4,34",ASSOLUTAMENTE SI,Spionaggio,Gran Bretagna,1949,104,Capolavoro di spionaggio tratto da Graham Greene,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard, Bernard Lee","Casa del Cinema
Teatro all'Aperto Ettore Scola","21:30
21:30"
NOUVELLE VAGUE,"3,92",ASSOLUTAMENTE SI,"Commedia, Biografico, Drammatico",Francia,2025,106,"Il racconto appassionato e appassionante della realizzazione di Fino all'ultimo respiro, film-simbolo della nouvelle vague",Richard Linklater,"Guillaume Marbeck, Zoey Deutch, Aubry Dullin, Alix Bénézech",Cinevillage Piazza Vittorio,21:30
ODISSEA,"3,87",ASSOLUTAMENTE SI,"Avventura, Drammatico, Fantasy","USA, Gran Bretagna",2026,172,L'epica si fa cinema. Nolan rilegge l'Odissea e ci illumina con messaggi pacifisti e femministi,Christopher Nolan,"Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson","CINEMA Adriano
CINEMA Andromeda
CINEMA Antares
CINEMA Atlantic
CINEMA Barberini
CINEMA Broadway
CINEMA Cineland
CINEMA Doria
CINEMA Eden
Eurcine Multisala
CINEMA Farnese
CINEMA FCE Majestic
CINEMA Giulio Cesare
CINEMA Greenwich
CINEMA Jolly
CINEMA Madison
CINEMA Mignon
CINEMA Multisala Lux
Multisala Odeon
Quattro Fontane
CINEMA Savoy
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
CINEMA Troisi
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:00, 16:00, 17:00, 18:00, 19:50, 20:30, 21:30 | VO: 19:00
VO: 20:30
16:30, 18:00, 20:00, 21:30
15:00, 16:00, 17:00, 18:15, 19:20, 20:20, 21:30
15:15, 18:00, 18:45, 21:00, 21:45 | VO: 14:00, 15:00, 16:10, 17:15, 18:15, 18:40, 19:20, 20:30, 21:30, 22:00
15:00, 16:00, 18:00, 19:00, 21:00
15:45, 16:45, 18:30, 19:15, 20:15
16:30, 18:00, 19:00, 20:30, 21:30
16:30, 17:40, 19:00, 20:00, 21:00
16:00, 17:00, 18:00, 20:00, 20:30, 21:15
17:00 | VO: 20:30
16:30, 18:00, 20:00, 21:30
16:00, 20:00 | VO: 18:00, 19:30, 21:15
16:30, 20:00 | VO: 18:00, 21:15
17:00, 18:00, 19:30, 20:30, 21:30
14:45, 15:45, 17:00, 17:50, 18:45, 20:00, 20:55
15:45, 17:30, 20:45
16:00, 17:15, 18:00, 19:30, 20:45, 21:30, 22:00 | VO: 17:00, 20:30, 22:00
16:00, 18:00, 20:00, 21:30, 22:00
16:30, 20:15 | VO: 15:00, 18:15, 21:30
16:30, 18:00, 20:30, 21:30
17:15, 18:15, 20:30, 21:30
15:00, 15:30, 16:30, 17:30, 18:25, 20:30, 21:30, 22:10, 22:40
14:15, 14:45, 15:00, 15:15, 15:35, 16:00, 16:20, 16:30, 17:00, 17:30, 17:55, 18:15, 18:45, 18:55, 19:10, 19:25, 19:35, 20:00, 20:15, 20:30, 20:45, 21:00, 21:15, 21:30, 21:45, 21:55, 22:15, 22:30
16:00, 17:00, 18:00, 19:30, 20:30, 21:30
VO: 11:00, 14:15, 17:30, 21:00
14:00, 15:00, 15:30, 16:00, 16:30, 17:00, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:20, 21:40, 22:00, 22:30, 23:00 | VO: 15:50
10:00, 11:00, 11:40, 12:10, 13:00, 14:00, 14:20, 15:00, 15:30, 16:00, 16:20, 16:30, 17:00, 17:30, 18:00, 18:30, 19:00, 19:20, 19:30, 20:00, 20:20, 20:30, 21:00, 21:20, 21:30, 21:40, 22:00, 22:20, 22:40, 23:00, 23:40 | VO: 10:30
13:00, 14:00, 15:00, 15:30, 16:00, 16:30, 17:00, 18:00, 18:30, 19:00, 19:30, 20:00, 20:30, 21:00, 21:20, 22:00, 22:30, 23:00 | VO: 15:50
10:00, 12:00, 13:00, 14:00, 16:00, 17:00, 18:00, 20:00, 21:00, 21:30, 22:00, 23:10, 23:50 | VO: 09:10, 19:30"
LUPIN III - IL CASTELLO DI CAGLIOSTRO,"3,84",SI,Animazione,Giappone,1979,100,"Miyazaki entusiasma, diverte e stupisce con il contributo di una sceneggiatura brillante e ben bilanciata",Hayao Miyazaki,"Eiko Masuyama, Gorô Naya, Kiyoshi Kobayashi, Makio Inoue",CINEMA Madison,"15:00, 21:35"
TOY STORY 5,"3,78",SI,"Animazione, Avventura, Commedia","USA, Giappone",2026,102,"Il quinto capitolo rispetta i topos e i personaggi della saga, affrontando le più grandi paure dei bambini: l'abbandono e la solitudine","Andrew Stanton, McKenna Harris","Angelo Maggi, Massimo Dapporto, Ilaria Stagni, Katia Follesa","CINEMA Adriano
CINEMA Atlantic
CINEMA Barberini
CINEMA Broadway
CINEMA Cineland
Eurcine Multisala
CINEMA Jolly
CINEMA Madison
CINEMA Multisala Lux
Multisala Odeon
The Screen Cinemas Roma Ottavia
The Space Moderno
The Space Parco de Medici
CINEMA Trianon
Uci Cinemas Parco Leonardo
Uci Cinemas Porta di Roma
Uci Cinemas Roma Est
Uci Luce Maximo","15:00, 17:20, 19:30, 21:40
15:00, 17:10, 19:20, 21:30
VO: 14:15
15:20
16:20, 18:30, 20:40
17:00
17:20
15:15, 17:00, 19:00, 21:00
16:00, 18:00, 20:00
16:00, 18:00, 20:00
19:20
14:40
14:00, 15:30, 15:50, 18:30
16:00, 17:00, 19:00
14:40, 16:10, 17:10, 20:10
11:30, 13:20, 14:40, 17:10, 20:10
14:40, 17:10, 20:10
11:20, 13:50, 16:30"
STILL WALKING - CAMMINANDO IN UN GIORNO D'ESTATE,"3,77",SI,Drammatico,Giappone,2008,114,Il punto più alto di un cinema che ha sempre cercato di raccontare i legami invisibili che uniscono le persone,Kore'eda Hirokazu,"You, Hiroshi Abe, Yoshio Harada, Ryôga Hayashi","CINEMA Greenwich
CINEMA Mignon","VO: 18:15
16:30, 18:45"
NINO,"3,73",SI,Drammatico,Francia,2025,96,Un esordio ricco di sfumature e di sottili trovate narrative. Una piccola opera che contiene moltitudini,Pauline Loquès,"Théodore Pellerin, Jeanne Balibar, William Lebghil, Salomé Dewaels",Azzurro Scipioni,21:00
UN SEMPLICE INCIDENTE,"3,73",SI,Drammatico,"Iran, Francia, Lussemburgo",2025,101,Un film in cui la denuncia si fa durissima anche quando sceglie la strada dell'ironia,Jafar Panahi,"Vahid Mobasseri, Mariam Afshari, Ebrahim Azizi, Hadis Pakbaten","Arena Nuovo Sacher
CINEMA Nuovo Sacher","VO: 21:30
VO: 21:30"
IL CASO 137,"3,70",SI,Thriller,Francia,2025,115,La polarizzazione tra polizia e società civile in un film che mantiene la purezza narrativa rifiutando ogni faziosità,Dominik Moll,"Léa Drucker, Jonathan Turnbull, Solan Machado Graner, Sandra Colombo",Azzurro Scipioni,19:00
L'HANGAR ROSSO,"3,70",SI,Drammatico,"Italia, Cile",2026,83,"Un ottimo thriller dall'eleganza concisa. Il racconto degli Anni Settanta in Cile, intriso delle preoccupazioni del presente",Juan Pablo Sallato,"Nicolás Zárate, Boris Quercia, Marcial Tagle, Catalina Stuardo","CINEMA Barberini
CINEMA Cineland
CINEMA Eden
Eurcine Multisala
CINEMA Giulio Cesare
CINEMA Greenwich
Nuovo Cinema Aquila
Uci Cinemas Porta di Roma","VO: 16:10
20:30
16:30, 18:45, 21:15
17:00, 19:00
17:30, 19:15 | VO: 21:00
16:30 | VO: 20:30
VO: 19:00, 21:00
14:30"
